"","verbatimScientificName","countryCode","locality","stateProvince","decimalLatitude","decimalLongitude","year","institutionCode","Range","IntroLat","IntroLong","...12"
"16","Cinnamomum camphora","JP",NA,"Tokyo",35.628199,139.792735,2020,"iNaturalist","native",28.9786,-96.64609,NA
"17","Cinnamomum camphora","JP",NA,"Saitama",35.980365,139.253803,2020,"iNaturalist","native",28.9786,-96.64609,NA
"18","Cinnamomum camphora","JP",NA,"Tokyo",35.720448,139.760377,2020,"iNaturalist","native",28.9786,-96.64609,NA
"19","Cinnamomum camphora (L.) J.Presl","JP",NA,"Nagasaki",33.236389,129.571944,2015,"FKSE","native",28.9786,-96.64609,NA
"20","Cinnamomum camphora (L.) J. Presl","JP","Mikura-cho","Aichi",35.184219,137.307058,2016,"TCNS","native",28.9786,-96.64609,NA
"21","Cinnamomum camphora (L.) Presl","JP","Zama","Zama City",35.490831,139.390694,2015,"3033991","native",28.9786,-96.64609,NA
"22","Cinnamomum camphora (L.) Presl","JP","Tanihara","Taima",35.532497,139.365692,2015,"2015","native",28.9786,-96.64609,NA
"23","Cinnamomum camphora (L.) Presl","JP","Izuminomori","Kamisouyagi",35.482498,139.440694,2015,"3033991","native",28.9786,-96.64609,NA
"24","Cinnamomum camphora (L.) Siebold","JP","Takano","Chiba",35.711579,140.334212,1992,"CBM","native",28.9786,-96.64609,NA
"25","Cinnamomum camphora (L.) Siebold","JP","Yamaki","Chiba",35.519929,140.134241,1993,"CBM","native",28.9786,-96.64609,NA
"26","Cinnamomum camphora (L.) J.Presl","JP","Ohdou kaigan","Ootuki town",32.9712,132.39575,2003,"3033991","native",28.9786,-96.64609,NA
"27","Cinnamomum camphora (L.) J.Presl","JP","Shirahama","Taketomi cho",24.367194,123.759694,2003,"3033991","native",28.9786,-96.64609,NA
"28","Cinnamomum camphora","JP","Japonia. Nagasaki.",NA,32.75,129.866667,1863,"MEL","native",28.9786,-96.64609,NA
"29","Cinnamomum camphora","JP","Nagasaki","Japan.",32.75,129.866667,1862,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"30","Cinnamomum camphora","JP",NA,"Osaka",34.634989,135.400948,2019,"iNaturalist","native",28.9786,-96.64609,NA
"31","Cinnamomum camphora","JP","Wakayama Experimental Forest","Wakayama",33.665,135.683,1967,"FSCNBHU","native",28.9786,-96.64609,NA
"32","Cinnamomum camphora","JP","Wakayama Experimental Forest","Wakayama",33.664,135.668,1937,"FSCNBHU","native",28.9786,-96.64609,NA
"33","Cinnamomum camphora","JP","Wakayama Experimental Forest","Wakayama",33.643,135.69,1930,"FSCNBHU","native",28.9786,-96.64609,NA
"34","Cinnamomum camphora","JP",NA,"Tokyo",35.715231,139.774858,2019,"iNaturalist","native",28.9786,-96.64609,NA
"35","Cinnamomum camphora (L.) J.Presl","JP","Oji-jinja Shrine","Yamachi",32.966667,132.933333,2002,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"36","Cinnamomum camphora (L.) J.Presl","JP","Chigire","Kochi",33.533333,133.766667,2002,"MBK","native",28.9786,-96.64609,NA
"37","Cinnamomum camphora (L.) J.Presl","JP","Ombobata","Kochi",33.033333,132.983333,2002,"MBK","native",28.9786,-96.64609,NA
"38","Cinnamomum camphora (L.) Presl","JP","Miki-shi","Shijimi-cho",34.766667,135,2014,"3033991","native",28.9786,-96.64609,NA
"39","Cinnamomum camphora","JP","tosashimizu-shi","Kochi",32.7247,133.01009,1957,"TOYA","native",28.9786,-96.64609,NA
"40","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Tsuburano","Kanagawa Prefecture",35.357429,139.053087,2016,"KPM","native",28.9786,-96.64609,NA
"41","Cinnamomum camphora (L.) J.Presl","JP","Hie shrine","Yamagata",38.91506,139.83658,1974,"YAMA","native",28.9786,-96.64609,NA
"42","Cinnamomum camphora (L.) J.Presl","JP","Izu Oshima I.","Tokyo",34.742227,139.397315,1958,"YAMA","native",28.9786,-96.64609,NA
"43","Cinnamomum camphora (L.) J.Presl","JP","Hie shrine","Yamagata",38.91506,139.83658,1973,"YAMA","native",28.9786,-96.64609,NA
"44","Cinnamomum camphora (L.) J.Presl","JP",NA,"Yamagata",38.25525,140.34023,1972,"YAMA","native",28.9786,-96.64609,NA
"45","Cinnamomum camphora (L.) J.Presl","JP","Hie shrine","Yamagata",38.91506,139.83658,1973,"YAMA","native",28.9786,-96.64609,NA
"46","Cinnamomum camphora (L.) J.Presl","JP","Hie shrine","Yamagata",38.91506,139.83658,1974,"YAMA","native",28.9786,-96.64609,NA
"47","Cinnamomum camphora (L.) J.Presl","JP",NA,"Chiba",35.16021,140.15254,1967,"SIHU","native",28.9786,-96.64609,NA
"48","Cinnamomum camphora","JP",NA,"Hiroshima",34.394085,132.452793,2019,"iNaturalist","native",28.9786,-96.64609,NA
"49","Cinnamomum camphora","JP",NA,"Tokyo",35.738578,139.600052,2019,"iNaturalist","native",28.9786,-96.64609,NA
"50","Cinnamomum camphora","JP",NA,"Tokyo",35.731435,139.667976,2019,"iNaturalist","native",28.9786,-96.64609,NA
"51","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Kyoto Pref.",34.95992,135.4973,2009,"TNS","native",28.9786,-96.64609,NA
"52","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Kyoto Pref.",35.0066,135.6074,2007,"TNS","native",28.9786,-96.64609,NA
"53","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Okinawa Pref.",24.354942,123.780525,2007,"TNS","native",28.9786,-96.64609,NA
"54","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Chiba Pref.",35.5267,140.3485,1964,"TNS","native",28.9786,-96.64609,NA
"55","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Gifu Pref.",35.4334,136.7814,1935,"TNS","native",28.9786,-96.64609,NA
"56","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Tokyo Pref.",35.6846,139.7529,1998,"TNS","native",28.9786,-96.64609,NA
"57","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Shizuoka Pref.",34.6687,138.9757,2003,"TNS","native",28.9786,-96.64609,NA
"58","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Kochi Pref.",33.518,133.5784,2002,"TNS","native",28.9786,-96.64609,NA
"59","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Tottori Pref.",35.40497,134.08336,1985,"TNS","native",28.9786,-96.64609,NA
"60","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1978,"TNS","native",28.9786,-96.64609,NA
"61","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1977,"TNS","native",28.9786,-96.64609,NA
"62","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1978,"TNS","native",28.9786,-96.64609,NA
"63","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Tottori Pref.",35.40497,134.08336,1985,"TNS","native",28.9786,-96.64609,NA
"64","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",32.79119,132.82259,1978,"TNS","native",28.9786,-96.64609,NA
"65","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Shizuoka Pref.",34.64745,138.86359,1962,"TNS","native",28.9786,-96.64609,NA
"66","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Shizuoka Pref.",34.64745,138.86359,1962,"TNS","native",28.9786,-96.64609,NA
"67","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1977,"TNS","native",28.9786,-96.64609,NA
"68","Cinnamomum camphora (L.) J.Presl var. camphora","JP",NA,"Chiba Pref.",35.57219,140.14552,1951,"TNS","native",28.9786,-96.64609,NA
"69","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Shizuoka Pref.",34.64745,138.86359,1970,"TNS","native",28.9786,-96.64609,NA
"70","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Shizuoka Pref.",34.64745,138.86359,1962,"TNS","native",28.9786,-96.64609,NA
"71","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1977,"TNS","native",28.9786,-96.64609,NA
"72","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Kochi Pref.",33.04389,132.7478,1977,"TNS","native",28.9786,-96.64609,NA
"73","Cinnamomum camphora (L.) J.Presl var. camphora f. linaloolifera (Y.Fujita) Sugim.","JP",NA,"Tottori Pref.",35.40497,134.08336,1985,"TNS","native",28.9786,-96.64609,NA
"74","Cinnamomum camphora","JP",NA,"Nara",34.4100000330155,135.85,2011,"BDCJ","native",28.9786,-96.64609,NA
"75","Cinnamomum camphora","JP",NA,"Miyazaki",31.6600000289702,131.11,2011,"BDCJ","native",28.9786,-96.64609,NA
"76","Cinnamomum camphora","JP",NA,"Kagoshima",31.590000028861,130.92,2011,"BDCJ","native",28.9786,-96.64609,NA
"77","Cinnamomum camphora","JP",NA,"Kagoshima",31.1800000282163,130.88,2011,"BDCJ","native",28.9786,-96.64609,NA
"78","Cinnamomum camphora","JP",NA,"Kagoshima",31.5500000287984,130.64,2011,"BDCJ","native",28.9786,-96.64609,NA
"79","Cinnamomum camphora","JP",NA,"Kagoshima",31.6000000288766,130.91,2011,"BDCJ","native",28.9786,-96.64609,NA
"80","Cinnamomum camphora","JP",NA,NA,34.5700000332334,136.52,2011,"BDCJ","native",28.9786,-96.64609,NA
"81","Cinnamomum camphora","JP",NA,NA,34.5800000332469,136.61,2011,"BDCJ","native",28.9786,-96.64609,NA
"82","Cinnamomum camphora","JP",NA,"Kagoshima",31.4600000286575,130.74,2011,"BDCJ","native",28.9786,-96.64609,NA
"83","Cinnamomum camphora","JP",NA,"Kagoshima",31.0800000280579,130.76,2011,"BDCJ","native",28.9786,-96.64609,NA
"84","Cinnamomum camphora","JP",NA,"Kagoshima",31.1800000282163,130.87,2011,"BDCJ","native",28.9786,-96.64609,NA
"85","Cinnamomum camphora","JP",NA,"Kagoshima",31.2100000282638,130.76,2011,"BDCJ","native",28.9786,-96.64609,NA
"86","Cinnamomum camphora","JP",NA,"Kagoshima",31.1700000282005,130.78,2011,"BDCJ","native",28.9786,-96.64609,NA
"87","Cinnamomum camphora","JP",NA,"Nara",34.5800000332469,135.85,2011,"BDCJ","native",28.9786,-96.64609,NA
"88","Cinnamomum camphora","JP",NA,"Kagoshima",31.6500000289546,131.08,2011,"BDCJ","native",28.9786,-96.64609,NA
"89","Cinnamomum camphora","JP",NA,"Kagoshima",31.1700000282005,130.53,2011,"BDCJ","native",28.9786,-96.64609,NA
"90","Cinnamomum camphora","JP",NA,"Nara",34.4300000330429,135.76,2011,"BDCJ","native",28.9786,-96.64609,NA
"91","Cinnamomum camphora","JP",NA,"Mie",34.360000032947,136.33,2011,"BDCJ","native",28.9786,-96.64609,NA
"92","Cinnamomum camphora","JP",NA,"Kagoshima",31.5600000288141,131,2011,"BDCJ","native",28.9786,-96.64609,NA
"93","Cinnamomum camphora","JP",NA,"Nara",34.5800000332469,136.02,2011,"BDCJ","native",28.9786,-96.64609,NA
"94","Cinnamomum camphora","JP",NA,"Nara",34.4100000330155,135.89,2011,"BDCJ","native",28.9786,-96.64609,NA
"95","Cinnamomum camphora","JP",NA,"Mie",34.620000033301,136.11,2011,"BDCJ","native",28.9786,-96.64609,NA
"96","Cinnamomum camphora","JP",NA,"Kagoshima",31.3100000284216,130.9,2011,"BDCJ","native",28.9786,-96.64609,NA
"97","Cinnamomum camphora","JP",NA,"Miyazaki",31.6300000289234,131.19,2011,"BDCJ","native",28.9786,-96.64609,NA
"98","Cinnamomum camphora","JP",NA,"Kagoshima",31.5100000287358,130.9,2011,"BDCJ","native",28.9786,-96.64609,NA
"99","Cinnamomum camphora","JP",NA,"Miyazaki",31.6600000289702,131.27,2011,"BDCJ","native",28.9786,-96.64609,NA
"100","Cinnamomum camphora","JP",NA,"Kagoshima",31.1500000281688,130.84,2011,"BDCJ","native",28.9786,-96.64609,NA
"101","Cinnamomum camphora","JP",NA,"Kagoshima",31.6000000288766,130.86,2011,"BDCJ","native",28.9786,-96.64609,NA
"102","Cinnamomum camphora","JP",NA,"Kagoshima",31.1000000280896,130.849999999999,2011,"BDCJ","native",28.9786,-96.64609,NA
"103","Cinnamomum camphora","JP",NA,"Miyazaki",31.7700000291413,131.36,2011,"BDCJ","native",28.9786,-96.64609,NA
"104","Cinnamomum camphora","JP",NA,"Kagoshima",31.0900000280738,130.81,2011,"BDCJ","native",28.9786,-96.64609,NA
"105","Cinnamomum camphora","JP",NA,"Miyazaki",31.4600000286575,131.2,2011,"BDCJ","native",28.9786,-96.64609,NA
"106","Cinnamomum camphora","JP",NA,"Miyazaki",31.5600000288141,131.21,2011,"BDCJ","native",28.9786,-96.64609,NA
"107","Cinnamomum camphora","JP",NA,"Ibaraki",36.210641,140.099496,2018,"iNaturalist","native",28.9786,-96.64609,NA
"108","Cinnamomum camphora","JP",NA,"Tokyo",35.690267,139.758282,2018,"iNaturalist","native",28.9786,-96.64609,NA
"109","Cinnamomum camphora","JP",NA,"Kanagawa",35.48375,139.385192,2018,"iNaturalist","native",28.9786,-96.64609,NA
"110","Cinnamomum camphora (L.) J.Presl","JP","Hie jinja","Yamagata",38.9214,139.8304,1973,"YAMA","native",28.9786,-96.64609,NA
"111","Cinnamomum camphora (L.) J.Presl","JP","Ueno Park","Tokyo",35.7168,139.7745,1983,"YAMA","native",28.9786,-96.64609,NA
"112","Cinnamomum camphora (L.) J.Presl","JP","Kageyama","Kochi",33.633333,133.533333,2003,"MBK","native",28.9786,-96.64609,NA
"113","Cinnamomum camphora (L.) J.Presl","JP","Miyakono","Kochi",33.733333,133.55,2003,"MBK","native",28.9786,-96.64609,NA
"114","Cinnamomum camphora (L.) J.Presl","JP","Nishitanigawa","Kochi",33.55,134.033333,2003,"MBK","native",28.9786,-96.64609,NA
"115","Cinnamomum camphora (L.) J.Presl","JP",NA,"Kochi",32.783333,132.666667,2003,"MBK","native",28.9786,-96.64609,NA
"116","Cinnamomum camphora (L.) J.Presl","JP","Fujinono","Kochi",33.583333,133.166667,2004,"MBK","native",28.9786,-96.64609,NA
"117","Cinnamomum camphora (L.) J.Presl","JP","Shima","Kochi",33.533333,134.133333,2004,"MBK","native",28.9786,-96.64609,NA
"118","Cinnamomum camphora (L.) J.Presl","JP","Nishinosawa","Kochi",33.516667,133.916667,2004,"MBK","native",28.9786,-96.64609,NA
"119","Cinnamomum camphora (L.) J.Presl","JP","Ikejima","Kochi",32.916667,132.683333,2006,"MBK","native",28.9786,-96.64609,NA
"120","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.545833,133.58125,1999,"MBK","native",28.9786,-96.64609,NA
"121","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.5375,134.23125,1978,"MBK","native",28.9786,-96.64609,NA
"122","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.054167,133.03125,1998,"MBK","native",28.9786,-96.64609,NA
"123","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.5125,133.86875,1986,"MBK","native",28.9786,-96.64609,NA
"124","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.520833,133.81875,1986,"MBK","native",28.9786,-96.64609,NA
"125","Cinnamomum camphora (L.) J.Presl","JP",NA,"Pref. Kochi",33.329167,134.16875,1987,"MBK","native",28.9786,-96.64609,NA
"126","Cinnamomum camphora (L.) J.Presl","JP",NA,"Kouchi Pref.",32.768875,132.620916,1953,"TKPM","native",28.9786,-96.64609,NA
"127","Cinnamomum camphora (L.) J.Presl","JP",NA,"Kouchi Pref.",33.554306,133.407294,1955,"TKPM","native",28.9786,-96.64609,NA
"128","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"129","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"130","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"131","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.068865,134.326395,1972,"TKPM","native",28.9786,-96.64609,NA
"132","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"133","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.068865,134.326395,1972,"TKPM","native",28.9786,-96.64609,NA
"134","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"135","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067115,134.33681,1941,"TKPM","native",28.9786,-96.64609,NA
"136","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"137","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"138","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067115,134.33681,1941,"TKPM","native",28.9786,-96.64609,NA
"139","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"140","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"141","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.067281,134.320451,1973,"TKPM","native",28.9786,-96.64609,NA
"142","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.169301,134.610505,1945,"TKPM","native",28.9786,-96.64609,NA
"143","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.169301,134.610505,1945,"TKPM","native",28.9786,-96.64609,NA
"144","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.085671,134.600342,2004,"TKPM","native",28.9786,-96.64609,NA
"145","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.085671,134.600342,2004,"TKPM","native",28.9786,-96.64609,NA
"146","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.07608,134.58234,2003,"TKPM","native",28.9786,-96.64609,NA
"147","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.16496,134.59894,2004,"TKPM","native",28.9786,-96.64609,NA
"148","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.16496,134.59894,2004,"TKPM","native",28.9786,-96.64609,NA
"149","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.15408,134.60756,2004,"TKPM","native",28.9786,-96.64609,NA
"150","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.166162,134.599062,2004,"TKPM","native",28.9786,-96.64609,NA
"151","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.16496,134.59894,2004,"TKPM","native",28.9786,-96.64609,NA
"152","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.166162,134.599062,2004,"TKPM","native",28.9786,-96.64609,NA
"153","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.11908,134.40692,2003,"TKPM","native",28.9786,-96.64609,NA
"154","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.07531,134.554207,1962,"TKPM","native",28.9786,-96.64609,NA
"155","Cinnamomum camphora (L.) J.Presl","JP",NA,"Tokushima Pref.",34.07531,134.554207,1962,"TKPM","native",28.9786,-96.64609,NA
"156","Cinnamomum camphora (L.) Presl","JP","Uwajima-shi","Tsuyama-cho",33.1625,132.59375,2012,"3033991","native",28.9786,-96.64609,NA
"157","Cinnamomum camphora (L.) Presl","JP","Miki-shi","Atobe",34.820833,134.98125,2013,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"158","Cinnamomum camphora (L.) Presl","JP","Miki-shi","Torimachi",34.804167,134.95625,2013,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"159","Cinnamomum camphora (L.) Presl","JP",NA,"Hyogo",34.8,134.95,1931,"HYO","native",28.9786,-96.64609,NA
"160","Cinnamomum camphora (L.) Presl","JP","Miyazaki-shi","Takaoka-cho",31.8775,131.236944,2010,"3033991","native",28.9786,-96.64609,NA
"161","Cinnamomum camphora","JP",NA,"Aichi",35.09654,137.05237,1983,"TOYA","native",28.9786,-96.64609,NA
"162","Cinnamomum camphora","JP","Hagi","Aichi",34.877578,137.329333,1960,"TOYA","native",28.9786,-96.64609,NA
"163","Cinnamomum camphora","JP","Mikami","Aichi",34.81889,137.42891,1987,"TOYA","native",28.9786,-96.64609,NA
"164","Cinnamomum camphora","JP","Ayakita Keikoku","Miyazaki",31.99954,131.25362,1986,"TOYA","native",28.9786,-96.64609,NA
"165","Cinnamomum camphora (L.) Presl","JP","Tana minabara","Chuou-ku",35.55605,139.33548,2014,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"166","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Kamioda","Miho-damu-hiroba",35.407421,139.040586,2016,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"167","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Sanchiku","Kanagawa Prefecture",35.282442,139.103085,2015,"KPM","native",28.9786,-96.64609,NA
"168","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Hanamidai","Kanagawa Prefecture",35.457431,139.590541,2014,"KPM","native",28.9786,-96.64609,NA
"169","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Higashitawara","Kanagawa Prefecture",35.399097,139.22807,2016,"KPM","native",28.9786,-96.64609,NA
"170","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Hane","Kanagawa Prefecture",35.407429,139.21557,2016,"KPM","native",28.9786,-96.64609,NA
"171","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Bodai","Kanagawa Prefecture",35.415761,139.190572,2016,"KPM","native",28.9786,-96.64609,NA
"172","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Inoguchi","Kanagawa Prefecture",35.349104,139.240569,2016,"KPM","native",28.9786,-96.64609,NA
"173","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Yasahi-cho","Kanagawa Prefecture",35.482426,139.503048,2016,"KPM","native",28.9786,-96.64609,NA
"174","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Shimbashicho","Kanagawa Prefecture",35.440765,139.515548,2016,"KPM","native",28.9786,-96.64609,NA
"175","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Hassawa","Kanagawa Prefecture",35.38243,139.153076,2015,"KPM","native",28.9786,-96.64609,NA
"176","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Akuwa Nishi","Kanagawa Prefecture",35.449097,139.490549,2015,"KPM","native",28.9786,-96.64609,NA
"177","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Yoshidajima","Kanagawa Prefecture",35.324104,139.140578,2015,"KPM","native",28.9786,-96.64609,NA
"178","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Oniyanagi","Kanagawa Prefecture",35.30744,139.153078,2014,"KPM","native",28.9786,-96.64609,NA
"179","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Manatsuru","Ohayashi",35.140796,139.153087,2015,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"180","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Manatsuru","Ohayashi",35.140796,139.153087,2015,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"181","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Manatsuru","Ohayashi",35.140796,139.153087,2015,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"182","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Kajiya","Makuyama-koen",35.1659,139.089539,2015,"PRESERVED_SPECIMEN","native",28.9786,-96.64609,NA
"183","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Nebukawa","Kanagawa Prefecture",35.199121,139.128088,2014,"KPM","native",28.9786,-96.64609,NA
"184","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Shiroyama3","Kanagawa Prefecture",35.249115,139.153082,2015,"KPM","native",28.9786,-96.64609,NA
"185","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Issiki","Kanagawa Prefecture",35.324108,139.253068,2014,"KPM","native",28.9786,-96.64609,NA
"186","Cinnamomum camphora (L.) J.Presl var. camphora","JP","Akata","Kanagawa Prefecture",35.326731,139.183317,2014,"KPM","native",28.9786,-96.64609,NA
